Directory,Strategy,StrategyLab,ScenarioSet
"CC All,GeneralMRM,Baseline",Baseline,Baseline,CC
"CC All,GeneralMRM,GallatinCanyonFerryPipeline",CanyonFerryPipeline,Canyon Ferry Pipeline,CC
"CC All,GeneralMRM,GallatinInfilGallery",InfilGallery,Groundwater Infiltration Gallery,CC
